"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.09.2024","18,946","19,150","19,140","18,946","5,60K","-1,83%"
"30.08.2024","19,300","18,590","19,770","18,590","146,93K","3,82%"
"29.08.2024","18,590","18,000","18,800","17,920","75,09K","2,82%"
"28.08.2024","18,080","17,810","18,175","17,761","28,63K","1,97%"
"27.08.2024","17,730","17,630","17,900","17,360","32,58K","-0,39%"
"26.08.2024","17,800","17,990","18,060","17,590","43,31K","-1,55%"
"23.08.2024","18,080","18,060","18,330","17,635","14,30K","2,20%"
"22.08.2024","17,690","18,500","18,500","17,502","42,53K","-2,75%"
"21.08.2024","18,190","19,000","19,000","18,120","29,24K","-3,76%"
"20.08.2024","18,900","18,270","18,940","17,795","101,01K","3,50%"
"19.08.2024","18,260","17,440","18,300","17,260","100,97K","5,61%"
"16.08.2024","17,290","17,640","18,070","17,125","54,64K","-2,15%"
"15.08.2024","17,670","17,440","18,190","17,220","89,87K","2,73%"
"14.08.2024","17,200","17,140","17,500","16,880","50,72K","0,35%"
"13.08.2024","17,140","17,380","17,380","16,890","31,20K","0,59%"
"12.08.2024","17,040","16,720","17,230","16,639","25,76K","0,24%"
"09.08.2024","17,000","15,990","17,045","15,990","42,58K","6,85%"
"08.08.2024","15,910","15,180","16,240","15,115","119,30K","7,07%"
"07.08.2024","14,860","15,320","15,560","14,705","97,48K","0,41%"
"06.08.2024","14,800","14,350","15,565","14,350","139,03K","-0,94%"
"05.08.2024","14,940","15,100","15,190","13,780","55,85K","-3,18%"
"02.08.2024","15,430","15,520","16,050","15,300","33,99K","-3,98%"
"01.08.2024","16,070","16,400","16,400","15,800","27,44K","-2,72%"
"31.07.2024","16,520","16,330","16,830","16,045","29,74K","3,44%"
"30.07.2024","15,970","16,500","16,550","15,858","56,56K","-1,78%"
"29.07.2024","16,260","16,680","16,950","16,010","59,54K","-1,45%"
"26.07.2024","16,500","16,540","16,620","16,280","15,42K","1,23%"
"25.07.2024","16,300","16,500","16,500","15,800","23,42K","-0,43%"
"24.07.2024","16,370","16,850","16,940","16,150","36,75K","-2,44%"
"23.07.2024","16,780","16,260","17,175","16,190","33,43K","2,76%"
"22.07.2024","16,330","16,480","16,600","16,055","25,73K","0,55%"
"19.07.2024","16,240","15,350","16,470","15,350","38,61K","4,17%"
"18.07.2024","15,590","15,670","16,120","15,360","22,80K","-1,27%"
"17.07.2024","15,790","16,760","16,760","15,710","29,23K","-5,73%"
"16.07.2024","16,750","16,260","17,190","15,600","67,95K","2,13%"
"15.07.2024","16,400","16,800","17,170","16,090","38,85K","-3,64%"
"12.07.2024","17,020","17,355","17,550","16,785","33,85K","-2,74%"
"11.07.2024","17,500","17,000","17,762","17,000","56,53K","3,12%"
"10.07.2024","16,970","15,934","17,000","15,934","25,58K","5,40%"
"09.07.2024","16,100","15,630","16,245","15,540","56,41K","1,96%"
"08.07.2024","15,790","15,930","15,940","15,540","28,23K","1,54%"
"05.07.2024","15,550","15,380","16,150","15,320","73,81K","0,00%"
"03.07.2024","15,550","15,190","15,710","15,190","17,32K","3,12%"
"02.07.2024","15,080","14,890","15,430","14,590","44,55K","0,80%"
"01.07.2024","14,960","16,240","16,240","14,820","79,32K","-8,72%"
"28.06.2024","16,390","17,110","17,110","16,220","23,92K","-2,03%"
"27.06.2024","16,730","16,030","16,890","15,830","45,17K","3,59%"
"26.06.2024","16,150","16,190","16,770","15,900","27,57K","-2,42%"
"25.06.2024","16,550","16,470","16,645","16,264","47,99K","1,97%"
"24.06.2024","16,230","15,980","16,620","15,830","30,71K","2,85%"
"21.06.2024","15,780","16,030","16,110","15,580","57,85K","-2,47%"
"20.06.2024","16,180","16,640","17,000","15,785","43,86K","-3,17%"
"18.06.2024","16,710","16,120","17,020","16,120","26,44K","2,77%"
"17.06.2024","16,260","17,100","17,119","16,200","44,35K","-4,80%"
"14.06.2024","17,080","17,320","17,700","16,850","114,35K","-2,79%"
"13.06.2024","17,570","18,300","18,300","16,730","89,11K","6,10%"
"12.06.2024","16,560","16,550","17,124","16,370","56,97K","0,00%"
"11.06.2024","16,560","16,840","17,230","16,356","54,26K","-0,90%"
"10.06.2024","16,710","16,090","17,000","15,480","125,07K","2,20%"
"07.06.2024","16,350","15,820","16,640","15,496","86,59K","3,61%"
"06.06.2024","15,780","16,440","16,765","15,750","60,56K","-3,90%"
"05.06.2024","16,420","16,360","17,028","15,800","101,04K","0,67%"
"04.06.2024","16,310","17,000","17,000","16,130","94,14K","-5,50%"
"03.06.2024","17,260","18,380","18,380","17,070","56,43K","-4,96%"